ground_truth_id,evaluation_split,cluster_id_1,cluster_id_2,identity_records_in_cluster_1,identity_records_in_cluster_2,true_record_pair_opportunities,cluster_size_1,cluster_size_2,blocking_rules,blocking_rule_names,blocking_hits,candidate_generated,evaluated_cluster_id_1,evaluated_cluster_id_2,weighted_similarity_score,evidence_coverage,sufficient_support,static_conflict,selected_decision,selected_reason,selected_automatic_threshold,selected_minimum_coverage,false_negative_reason
GT000110,calibration,DCL005280,DCL009945,5,1,5,5,1,B04,Email domain and local-part prefix,1,True,ECL005280,ECL009882,1.0,0.3,False,False,,,0.91,0.55,True pair lacked the required corroborating evidence
GT000114,calibration,DCL003875,DCL009932,7,1,7,,,,,,False,ECL003875,ECL009869,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000121,calibration,DCL008443,DCL010509,7,1,7,7,1,B04,Email domain and local-part prefix,1,True,ECL008432,ECL010418,1.0,0.2,False,False,,,0.91,0.55,True pair lacked the required corroborating evidence
GT000130,evaluation,DCL002434,DCL009551,7,1,7,,,,,,False,ECL002434,ECL009507,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000144,evaluation,DCL003709,DCL010296,1,1,1,,,,,,False,ECL003709,ECL010217,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000163,calibration,DCL008642,DCL009704,2,1,2,,,,,,False,ECL008621,ECL009651,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000190,evaluation,DCL003486,DCL009768,7,1,7,,,,,,False,ECL003486,ECL009712,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000217,calibration,DCL002076,DCL010585,11,1,11,,,,,,False,ECL002076,ECL010491,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000242,calibration,DCL005236,DCL010667,1,1,1,,,,,,False,ECL005236,ECL010570,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000255,evaluation,DCL007188,DCL010720,7,1,7,,,,,,False,ECL007188,ECL010618,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000256,calibration,DCL005639,DCL009706,6,2,12,,,,,,False,ECL005639,ECL009653,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000261,calibration,DCL008018,DCL010588,7,1,7,7,1,B04,Email domain and local-part prefix,1,True,ECL008014,ECL010494,0.9854,0.5,True,False,,,0.91,0.55,True pair had insufficient evidence coverage
GT000271,evaluation,DCL009410,DCL010346,1,1,1,,,,,,False,ECL009366,ECL010264,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000274,evaluation,DCL001055,DCL009682,10,1,10,10,1,B04,Email domain and local-part prefix,1,True,ECL001055,ECL009629,0.9,0.4,False,False,,,0.91,0.55,True pair lacked the required corroborating evidence
GT000295,calibration,DCL001187,DCL009729,9,1,9,,,,,,False,ECL001187,ECL009674,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000300,calibration,DCL008006,DCL009753,2,1,2,,,,,,False,ECL008002,ECL009697,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000300,calibration,DCL008006,DCL010140,2,2,4,2,2,B04,Email domain and local-part prefix,1,True,ECL008002,ECL010068,0.8949,0.6,True,False,,,0.91,0.55,True pair scored below the selected threshold
GT000300,calibration,DCL009753,DCL010140,1,2,2,,,,,,False,ECL009697,ECL010068,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000301,calibration,DCL007752,DCL009861,6,1,6,6,1,B04,Email domain and local-part prefix,1,True,ECL007752,ECL009799,1.0,0.3,False,False,,,0.91,0.55,True pair lacked the required corroborating evidence
GT000306,calibration,DCL000014,DCL010003,10,1,10,10,1,B04,Email domain and local-part prefix,1,True,ECL000014,ECL009937,1.0,0.3,False,False,,,0.91,0.55,True pair lacked the required corroborating evidence
GT000313,evaluation,DCL007186,DCL010235,6,1,6,,,,,,False,ECL007186,ECL010159,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000343,evaluation,DCL001323,DCL010129,3,1,3,,,,,,False,ECL001323,ECL010058,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000369,calibration,DCL003931,DCL010036,7,1,7,7,1,B04,Email domain and local-part prefix,1,True,ECL003931,ECL009968,0.9318,0.4,True,False,,,0.91,0.55,True pair had insufficient evidence coverage
GT000381,calibration,DCL005397,DCL010177,4,1,4,,,,,,False,ECL005397,ECL010103,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000389,calibration,DCL010001,DCL010614,1,1,1,,,,,,False,ECL009935,ECL010519,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000393,calibration,DCL008989,DCL009940,4,1,4,,,,,,False,ECL008959,ECL009877,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000402,calibration,DCL000353,DCL008381,3,2,6,3,2,B01 | B02 | B05,First-name initial and exact postcode | Surname initial and postcode outward code | Surname prefix and exact postcode,3,True,ECL000353,ECL008370,0.95,0.4,True,False,,,0.91,0.55,True pair had insufficient evidence coverage
GT000403,calibration,DCL002329,DCL010156,7,1,7,,,,,,False,ECL002329,ECL010083,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000418,evaluation,DCL007166,DCL009720,7,1,7,7,1,B04,Email domain and local-part prefix,1,True,ECL007166,ECL009666,0.9,0.4,False,False,,,0.91,0.55,True pair lacked the required corroborating evidence
GT000419,calibration,DCL008165,DCL009996,4,1,4,,,,,,False,ECL008158,ECL009930,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000424,calibration,DCL000185,DCL009089,3,1,3,3,1,B02,Surname initial and postcode outward code,1,True,ECL000185,ECL009055,0.8756,0.6,True,False,,,0.91,0.55,True pair scored below the selected threshold
GT000431,evaluation,DCL001968,DCL009342,2,1,2,2,1,B04,Email domain and local-part prefix,1,True,ECL001968,ECL009301,0.8714,0.6,True,False,,,0.91,0.55,True pair scored below the selected threshold
GT000447,evaluation,DCL001788,DCL010650,8,1,8,,,,,,False,ECL001788,ECL010554,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000459,calibration,DCL010194,DCL010599,2,1,2,2,1,B04,Email domain and local-part prefix,1,True,ECL010120,ECL010505,0.984,0.5,True,False,,,0.91,0.55,True pair had insufficient evidence coverage
GT000474,calibration,DCL000058,DCL009602,1,4,4,,,,,,False,ECL000058,ECL009555,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000522,calibration,DCL000739,DCL010716,6,1,6,6,1,B04,Email domain and local-part prefix,1,True,ECL000739,ECL010614,0.9854,0.5,True,False,,,0.91,0.55,True pair had insufficient evidence coverage
GT000526,calibration,DCL008870,DCL009593,2,1,2,,,,,,False,ECL008843,ECL009547,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000527,calibration,DCL008297,DCL009692,3,2,6,,,,,,False,ECL008288,ECL009639,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000581,calibration,DCL006780,DCL009581,4,1,4,4,1,B04,Email domain and local-part prefix,1,True,ECL006780,ECL009535,0.984,0.5,True,False,,,0.91,0.55,True pair had insufficient evidence coverage
GT000611,evaluation,DCL003398,DCL009703,5,1,5,,,,,,False,ECL003398,ECL009650,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000660,calibration,DCL008641,DCL010659,1,1,1,,,,,,False,ECL008620,ECL010563,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000663,evaluation,DCL002144,DCL010664,11,1,11,,,,,,False,ECL002144,ECL010567,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000675,evaluation,DCL003457,DCL009630,3,1,3,,,,,,False,ECL003457,ECL009581,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000712,calibration,DCL007876,DCL010701,6,1,6,,,,,,False,ECL007874,ECL010601,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000717,evaluation,DCL006795,DCL009908,7,1,7,,,,,,False,ECL006795,ECL009845,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000718,calibration,DCL002091,DCL009786,8,1,8,,,,,,False,ECL002091,ECL009730,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000736,calibration,DCL005640,DCL009758,15,1,15,,,,,,False,ECL005640,ECL009702,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000743,evaluation,DCL000363,DCL010308,2,1,2,,,,,,False,ECL000363,ECL010228,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000751,calibration,DCL007294,DCL010577,2,1,2,,,,,,False,ECL007294,ECL010483,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000759,calibration,DCL004208,DCL010351,7,1,7,,,,,,False,ECL004208,ECL010269,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000789,calibration,DCL010051,DCL010670,1,1,1,1,1,B04,Email domain and local-part prefix,1,True,ECL009983,ECL010573,0.9846,0.5,True,False,,,0.91,0.55,True pair had insufficient evidence coverage
GT000794,evaluation,DCL000241,DCL010678,4,1,4,4,1,B04,Email domain and local-part prefix,1,True,ECL000241,ECL010580,1.0,0.2,False,False,,,0.91,0.55,True pair lacked the required corroborating evidence
GT000797,calibration,DCL005238,DCL009541,3,2,6,3,2,B01 | B02 | B05,First-name initial and exact postcode | Surname initial and postcode outward code | Surname prefix and exact postcode,3,True,ECL005238,ECL009497,0.9783,0.4,True,False,,,0.91,0.55,True pair had insufficient evidence coverage
GT000845,calibration,DCL002992,DCL010290,7,1,7,,,,,,False,ECL002992,ECL010211,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000855,evaluation,DCL001568,DCL010162,10,1,10,10,1,B04,Email domain and local-part prefix,1,True,ECL001568,ECL010089,0.9826,0.5,True,False,,,0.91,0.55,True pair had insufficient evidence coverage
GT000857,calibration,DCL004804,DCL010282,6,1,6,6,1,B04,Email domain and local-part prefix,1,True,ECL004804,ECL010204,0.9318,0.4,True,False,,,0.91,0.55,True pair had insufficient evidence coverage
GT000872,evaluation,DCL000323,DCL010303,5,1,5,5,1,B04,Email domain and local-part prefix,1,True,ECL000323,ECL010223,0.9,0.4,False,False,,,0.91,0.55,True pair lacked the required corroborating evidence
GT000875,evaluation,DCL000867,DCL009912,15,1,15,,,,,,False,ECL000867,ECL009849,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000877,calibration,DCL006116,DCL009749,3,1,3,3,1,B04,Email domain and local-part prefix,1,True,ECL006116,ECL009693,0.8333,0.6,True,False,,,0.91,0.55,True pair scored below the selected threshold
GT000887,calibration,DCL000184,DCL009990,2,1,2,2,1,B04,Email domain and local-part prefix,1,True,ECL000184,ECL009925,0.9765,0.5,True,False,,,0.91,0.55,True pair had insufficient evidence coverage
GT000925,calibration,DCL002950,DCL010718,7,1,7,7,1,B04,Email domain and local-part prefix,1,True,ECL002950,ECL010616,0.9692,0.5,True,False,,,0.91,0.55,True pair had insufficient evidence coverage
GT000949,calibration,DCL001724,DCL010040,3,1,3,,,,,,False,ECL001724,ECL009972,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000959,calibration,DCL009279,DCL010054,2,1,2,2,1,B04,Email domain and local-part prefix,1,True,ECL009242,ECL009986,0.9826,0.5,True,False,,,0.91,0.55,True pair had insufficient evidence coverage
GT000959,calibration,DCL009279,DCL010683,2,1,2,,,,,,False,ECL009242,ECL010585,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000959,calibration,DCL010054,DCL010683,1,1,1,,,,,,False,ECL009986,ECL010585,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000961,calibration,DCL000924,DCL010569,9,1,9,9,1,B04,Email domain and local-part prefix,1,True,ECL000924,ECL010477,0.9314,0.5,True,False,,,0.91,0.55,True pair had insufficient evidence coverage
GT000966,calibration,DCL008982,DCL010487,1,1,1,1,1,B04,Email domain and local-part prefix,1,True,ECL008952,ECL010398,0.9167,0.4,False,False,,,0.91,0.55,True pair lacked the required corroborating evidence
GT000973,calibration,DCL001897,DCL010627,10,1,10,,,,,,False,ECL001897,ECL010531,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000980,evaluation,DCL004446,DCL010065,15,1,15,,,,,,False,ECL004446,ECL009997,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000992,calibration,DCL002666,DCL008848,1,4,4,1,4,B02 | B04,Email domain and local-part prefix | Surname initial and postcode outward code,2,True,ECL002666,ECL008822,0.903,0.6,True,False,,,0.91,0.55,True pair scored below the selected threshold
GT001004,calibration,DCL004055,DCL010024,3,1,3,,,,,,False,ECL004055,ECL009957,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001029,evaluation,DCL006123,DCL009737,9,1,9,,,,,,False,ECL006123,ECL009682,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001039,calibration,DCL001166,DCL010324,4,1,4,,,,,,False,ECL001166,ECL010242,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001057,evaluation,DCL007700,DCL008797,4,1,4,4,1,B01 | B02 | B05,First-name initial and exact postcode | Surname initial and postcode outward code | Surname prefix and exact postcode,3,True,ECL007700,ECL008772,0.8466,0.7,True,False,,,0.91,0.55,True pair scored below the selected threshold
GT001062,calibration,DCL007979,DCL008102,5,2,10,5,2,B02,Surname initial and postcode outward code,1,True,ECL007975,ECL008096,0.8801,0.6,True,False,,,0.91,0.55,True pair scored below the selected threshold
GT001066,calibration,DCL000262,DCL010636,10,1,10,10,1,B04,Email domain and local-part prefix,1,True,ECL000262,ECL010540,0.9846,0.5,True,False,,,0.91,0.55,True pair had insufficient evidence coverage
GT001068,evaluation,DCL005867,DCL010382,2,1,2,,,,,,False,ECL005867,ECL010298,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001083,calibration,DCL002799,DCL010565,4,1,4,,,,,,False,ECL002799,ECL010473,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001087,evaluation,DCL004396,DCL010598,5,1,5,5,1,B04,Email domain and local-part prefix,1,True,ECL004396,ECL010504,0.9765,0.5,True,False,,,0.91,0.55,True pair had insufficient evidence coverage
GT001097,calibration,DCL005052,DCL009675,8,1,8,8,1,B04,Email domain and local-part prefix,1,True,ECL005052,ECL009623,0.9714,0.5,True,False,,,0.91,0.55,True pair had insufficient evidence coverage
GT001106,evaluation,DCL006811,DCL010187,3,1,3,,,,,,False,ECL006811,ECL010113,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001133,calibration,DCL003643,DCL010731,4,1,4,,,,,,False,ECL003643,ECL010629,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001147,calibration,DCL004843,DCL010496,4,1,4,,,,,,False,ECL004843,ECL010406,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001149,calibration,DCL007613,DCL009470,1,1,1,1,1,B01 | B02 | B05,First-name initial and exact postcode | Surname initial and postcode outward code | Surname prefix and exact postcode,3,True,ECL007613,ECL009426,0.8393,0.7,True,False,,,0.91,0.55,True pair scored below the selected threshold
GT001149,calibration,DCL007613,DCL009864,1,1,1,1,1,B04,Email domain and local-part prefix,1,True,ECL007613,ECL009802,0.8452,0.6,True,False,,,0.91,0.55,True pair scored below the selected threshold
GT001149,calibration,DCL009470,DCL009864,1,1,1,,,,,,False,ECL009426,ECL009802,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001151,calibration,DCL006831,DCL010071,4,1,4,,,,,,False,ECL006831,ECL010003,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001156,evaluation,DCL002493,DCL010560,7,1,7,7,1,B04,Email domain and local-part prefix,1,True,ECL002493,ECL010468,0.9714,0.5,True,False,,,0.91,0.55,True pair had insufficient evidence coverage
GT001159,calibration,DCL008639,DCL010707,2,1,2,,,,,,False,ECL008618,ECL010606,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001162,evaluation,DCL007248,DCL010431,7,1,7,,,,,,False,ECL007248,ECL010342,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001184,calibration,DCL003049,DCL010016,8,1,8,,,,,,False,ECL003049,ECL009950,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001185,calibration,DCL000991,DCL010567,4,1,4,4,1,B04,Email domain and local-part prefix,1,True,ECL000991,ECL010475,0.9714,0.5,True,False,,,0.91,0.55,True pair had insufficient evidence coverage
GT001201,calibration,DCL007120,DCL010555,10,1,10,10,1,B04,Email domain and local-part prefix,1,True,ECL007120,ECL010463,0.9862,0.5,True,False,,,0.91,0.55,True pair had insufficient evidence coverage
GT001232,calibration,DCL004885,DCL009641,9,1,9,,,,,,False,ECL004885,ECL009591,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001234,calibration,DCL005318,DCL010159,3,1,3,,,,,,False,ECL005318,ECL010086,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001244,calibration,DCL005394,DCL009568,2,1,2,,,,,,False,ECL005394,ECL009524,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001288,evaluation,DCL001006,DCL010609,16,1,16,,,,,,False,ECL001006,ECL010515,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001311,evaluation,DCL009561,DCL010551,1,1,1,,,,,,False,ECL009517,ECL010459,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001311,evaluation,DCL009561,DCL010679,1,2,2,,,,,,False,ECL009517,ECL010581,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001311,evaluation,DCL010551,DCL010679,1,2,2,1,2,B04,Email domain and local-part prefix,1,True,ECL010459,ECL010581,0.9872,0.5,True,False,,,0.91,0.55,True pair had insufficient evidence coverage
GT001316,evaluation,DCL009910,DCL010601,1,3,3,,,,,,False,ECL009847,ECL010507,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001317,calibration,DCL005463,DCL009922,4,1,4,,,,,,False,ECL005463,ECL009859,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001341,evaluation,DCL006671,DCL010430,1,1,1,,,,,,False,ECL006671,ECL010341,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001349,evaluation,DCL002283,DCL010515,13,1,13,13,1,B04,Email domain and local-part prefix,1,True,ECL002283,ECL010424,0.9872,0.5,True,False,,,0.91,0.55,True pair had insufficient evidence coverage
GT001350,calibration,DCL002369,DCL010142,11,1,11,,,,,,False,ECL002369,ECL010070,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001372,calibration,DCL006871,DCL010674,14,1,14,14,1,B04,Email domain and local-part prefix,1,True,ECL006871,ECL010576,0.9846,0.5,True,False,,,0.91,0.55,True pair had insufficient evidence coverage
GT001376,calibration,DCL003878,DCL010034,11,1,11,11,1,B04,Email domain and local-part prefix,1,True,ECL003878,ECL009966,0.96,0.5,True,False,,,0.91,0.55,True pair had insufficient evidence coverage
GT001390,calibration,DCL002534,DCL009978,7,1,7,7,1,B04,Email domain and local-part prefix,1,True,ECL002534,ECL009914,0.9,0.6,True,False,,,0.91,0.55,True pair scored below the selected threshold
GT001398,calibration,DCL006746,DCL010624,6,1,6,,,,,,False,ECL006746,ECL010528,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001421,calibration,DCL008240,DCL009611,5,1,5,5,1,B04,Email domain and local-part prefix,1,True,ECL008232,ECL009564,0.9167,0.4,False,False,,,0.91,0.55,True pair lacked the required corroborating evidence
GT001427,calibration,DCL003663,DCL010703,6,1,6,,,,,,False,ECL003663,ECL010603,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001430,calibration,DCL000819,DCL010700,6,1,6,,,,,,False,ECL000819,ECL010600,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001431,calibration,DCL007224,DCL010005,13,1,13,13,1,B04,Email domain and local-part prefix,1,True,ECL007224,ECL009939,1.0,0.3,False,False,,,0.91,0.55,True pair lacked the required corroborating evidence
GT001459,calibration,DCL002136,DCL009553,6,1,6,,,,,,False,ECL002136,ECL009509,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001463,evaluation,DCL008029,DCL010550,4,1,4,4,1,B04,Email domain and local-part prefix,1,True,ECL008025,ECL010458,0.986,0.5,True,False,,,0.91,0.55,True pair had insufficient evidence coverage
GT001468,calibration,DCL005198,DCL010548,6,1,6,6,1,B04,Email domain and local-part prefix,1,True,ECL005198,ECL010456,0.9867,0.5,True,False,,,0.91,0.55,True pair had insufficient evidence coverage
GT001474,calibration,DCL001047,DCL010666,7,1,7,,,,,,False,ECL001047,ECL010569,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001494,calibration,DCL010106,DCL010570,1,4,4,1,4,B04,Email domain and local-part prefix,1,True,ECL010037,ECL010478,1.0,0.3,False,False,,,0.91,0.55,True pair lacked the required corroborating evidence
GT001510,calibration,DCL007520,DCL010037,4,1,4,,,,,,False,ECL007520,ECL009969,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001575,calibration,DCL006441,DCL007929,2,1,2,2,1,B02 | B04,Email domain and local-part prefix | Surname initial and postcode outward code,2,True,ECL006441,ECL007925,0.8968,0.6,True,False,,,0.91,0.55,True pair scored below the selected threshold
GT001601,evaluation,DCL007624,DCL009880,1,1,1,,,,,,False,ECL007624,ECL009818,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001605,evaluation,DCL002093,DCL009944,8,1,8,,,,,,False,ECL002093,ECL009881,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001621,calibration,DCL007481,DCL010581,4,1,4,4,1,B04,Email domain and local-part prefix,1,True,ECL007481,ECL010487,0.9739,0.5,True,False,,,0.91,0.55,True pair had insufficient evidence coverage
GT001624,calibration,DCL008064,DCL010343,6,1,6,,,,,,False,ECL008060,ECL010261,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001630,evaluation,DCL002713,DCL009639,3,1,3,,,,,,False,ECL002713,ECL009589,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001631,calibration,DCL001208,DCL010258,3,1,3,,,,,,False,ECL001208,ECL010181,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001633,evaluation,DCL008935,DCL009832,4,1,4,,,,,,False,ECL008906,ECL009772,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001636,calibration,DCL009538,DCL010481,2,1,2,,,,,,False,ECL009494,ECL010392,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001636,calibration,DCL009538,DCL010744,2,1,2,,,,,,False,ECL009494,ECL010641,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001636,calibration,DCL010481,DCL010744,1,1,1,,,,,,False,ECL010392,ECL010641,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001650,evaluation,DCL004615,DCL010230,2,1,2,,,,,,False,ECL004615,ECL010154,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001657,calibration,DCL002034,DCL009777,1,1,1,,,,,,False,ECL002034,ECL009721,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001657,calibration,DCL002034,DCL010587,1,1,1,1,1,B04,Email domain and local-part prefix,1,True,ECL002034,ECL010493,0.9692,0.5,True,False,,,0.91,0.55,True pair had insufficient evidence coverage
GT001657,calibration,DCL002034,DCL010675,1,1,1,,,,,,False,ECL002034,ECL010577,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001657,calibration,DCL009777,DCL010587,1,1,1,,,,,,False,ECL009721,ECL010493,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001657,calibration,DCL009777,DCL010675,1,1,1,,,,,,False,ECL009721,ECL010577,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT001657,calibration,DCL010587,DCL010675,1,1,1,,,,,,False,ECL010493,ECL010577,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
