cluster_id_1,cluster_id_2,weighted_similarity_score,evidence_coverage,blocking_rules,record_id_1,record_id_2,ground_truth_ids_1,ground_truth_ids_2,shared_ground_truth_ids,is_true_cluster_match,evaluation_scope,best_record_pair_true_match,selected_decision,selected_reason,merge_performed,evaluated_cluster_id_1,evaluated_cluster_id_2
DCL002012,DCL009629,0.9248,0.6,B04,STG012883,STG022238,GT007925,GT007925,GT007925,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL002012,ECL002012
DCL007879,DCL010390,0.9248,0.6,B04,STG008433,STG031803,GT009238,GT009238,GT009238,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL007877,ECL007877
DCL005854,DCL009337,0.9245,0.95,B01 | B02 | B03 | B05,STG005854,STG020316,GT008440,GT008440,GT008440,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL005854,ECL005854
DCL003339,DCL009661,0.9242,0.6,B04,STG029507,STG022601,GT001963,GT001963,GT001963,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL003339,ECL003339
DCL000284,DCL010288,0.9236,0.6,B04,STG020979,STG030433,GT007188,GT007188,GT007188,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL000284,ECL000284
DCL000219,DCL008563,0.9235,0.95,B01 | B02 | B03 | B05,STG000219,STG013505,GT004670,GT004670,GT004670,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL000219,ECL000219
DCL002617,DCL009213,0.9235,0.95,B01 | B02 | B03 | B05,STG002617,STG019546,GT007793,GT007793,GT007793,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL002617,ECL002617
DCL000579,DCL007917,0.9231,0.95,B01 | B02 | B03 | B05,STG013419,STG008655,GT005440,GT005440,GT005440,True,evaluation,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL000579,ECL000579
DCL004424,DCL007826,0.9231,0.65,B01 | B02 | B03 | B05,STG004424,STG013057,GT001022,GT001022,GT001022,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL004424,ECL004424
DCL000519,DCL010495,0.9231,0.6,B04,STG033275,STG033162,GT004827,GT004827,GT004827,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL000519,ECL000519
DCL008693,DCL009677,0.9222,0.6,B04,STG014732,STG026480,GT003272,GT003272,GT003272,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL008670,ECL008670
DCL006332,DCL010112,0.9221,0.6,B04,STG006332,STG027956,GT006031,GT006031,GT006031,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL006332,ECL006332
DCL008895,DCL009057,0.922,0.95,B01 | B02 | B03,STG016527,STG018228,GT007763,GT007763,GT007763,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL008867,ECL008867
DCL001967,DCL010135,0.9218,0.6,B04,STG015143,STG028306,GT008624,GT008624,GT008624,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL001967,ECL001967
DCL003853,DCL009595,0.9218,0.6,B04,STG023953,STG021951,GT000514,GT000514,GT000514,True,evaluation,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL003853,ECL003853
DCL008946,DCL010121,0.9211,0.6,B04,STG017062,STG028097,GT004846,GT004846,GT004846,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL008917,ECL008917
DCL004487,DCL009826,0.921,0.6,B04,STG027530,STG024720,GT009372,GT009372,GT009372,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL004487,ECL004487
DCL006157,DCL009572,0.921,0.6,B04,STG012146,STG021692,GT007755,GT007755,GT007755,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL006157,ECL006157
DCL002154,DCL008068,0.9209,0.55,B01 | B02 | B03 | B05,STG002154,STG015445,GT003444,GT003444,GT003444,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL002154,ECL002154
DCL003085,DCL009747,0.9206,0.6,B04,STG028183,STG023606,GT008014,GT008014,GT008014,True,evaluation,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL003085,ECL003085
DCL000665,DCL009952,0.92,0.6,B04,STG020180,STG026172,GT004619,GT004619,GT004619,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL000665,ECL000665
DCL003461,DCL010266,0.92,0.6,B04,STG003461,STG030120,GT007447,GT007447,GT007447,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL003461,ECL003461
DCL001348,DCL010611,0.9191,0.75,B04,STG001348,STG075336,GT007291,GT007291,GT007291,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL001348,ECL001348
DCL006736,DCL009288,0.919,0.65,B01 | B02 | B03 | B05,STG006736,STG020001,GT002526,GT002526,GT002526,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL006736,ECL006736
DCL000328,DCL010077,0.9188,0.6,B04,STG022618,STG027561,GT007813,GT007813,GT007813,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL000328,ECL000328
DCL000335,DCL010246,0.9188,0.6,B04,STG020013,STG029887,GT005565,GT005565,GT005565,True,evaluation,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL000335,ECL000335
DCL002127,DCL010018,0.9188,0.6,B04,STG002127,STG026919,GT001379,GT001379,GT001379,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL002127,ECL002127
DCL002688,DCL009907,0.9188,0.6,B04,STG013455,STG025651,GT004412,GT004412,GT004412,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL002688,ECL002688
DCL005786,DCL009718,0.9188,0.6,B04,STG026090,STG023149,GT000788,GT000788,GT000788,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL005786,ECL005786
DCL008728,DCL009570,0.9188,0.6,B04,STG026828,STG021673,GT000172,GT000172,GT000172,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL008705,ECL008705
DCL001454,DCL010367,0.9175,0.6,B04,STG020437,STG031424,GT003959,GT003959,GT003959,True,evaluation,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL001454,ECL001454
DCL010045,DCL010416,0.9175,0.6,B04,STG027284,STG032241,GT003751,GT003751,GT003751,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL009977,ECL009977
DCL005741,DCL007910,0.9169,0.95,B01 | B02 | B03 | B05,STG014001,STG008625,GT003901,GT003901,GT003901,True,evaluation,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL005741,ECL005741
DCL002309,DCL009989,0.9167,0.6,B04,STG012918,STG026618,GT004400,GT004400,GT004400,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL002309,ECL002309
DCL008407,DCL008680,0.9167,0.6,B02 | B04,STG022194,STG014599,GT002375,GT002375,GT002375,True,evaluation,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL008396,ECL008396
DCL003549,DCL009823,0.9158,0.6,B04,STG023339,STG024679,GT009921,GT009921,GT009921,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL003549,ECL003549
DCL008772,DCL009994,0.9158,0.6,B04,STG015395,STG026673,GT003650,GT003650,GT003650,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL008747,ECL008747
DCL002803,DCL009809,0.9141,0.6,B04,STG024861,STG024482,GT003411,GT003411,GT003411,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL002803,ECL002803
DCL008335,DCL009636,0.9141,0.6,B04,STG030468,STG022321,GT003723,GT003723,GT003723,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL008326,ECL008326
DCL009493,DCL010424,0.9141,0.6,B04,STG021102,STG032285,GT002667,GT002667,GT002667,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL009449,ECL009449
DCL004827,DCL009650,0.9137,0.6,B04,STG029177,STG022487,GT008590,GT008590,GT008590,True,evaluation,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL004827,ECL004827
DCL003870,DCL008798,0.9129,0.95,B01 | B02 | B03 | B05,STG012110,STG015627,GT009601,GT009601,GT009601,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL003870,ECL003870
DCL001246,DCL008121,0.9114,0.6,B04,STG033277,STG024479,GT006095,GT009829,,False,evaluation,False,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL001246,ECL001246
DCL004451,DCL009626,0.9111,0.6,B04,STG011417,STG022197,GT005771,GT005771,GT005771,True,evaluation,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL004451,ECL004451
DCL009920,DCL010198,0.9111,0.6,B04,STG025843,STG029280,GT009844,GT009844,GT009844,True,evaluation,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL009857,ECL009857
DCL002011,DCL009349,0.9109,0.95,B01 | B02 | B03 | B05,STG002011,STG020419,GT004151,GT004151,GT004151,True,evaluation,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL002011,ECL002011
DCL001263,DCL009355,0.9106,0.6,B02 | B04,STG030563,STG020443,GT002002,GT002002,GT002002,True,evaluation,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL001263,ECL001263
