cluster_id_1,cluster_id_2,cluster_size_1,cluster_size_2,blocking_rules,blocking_rule_names,blocking_hits,record_pairs_compared,record_id_1,source_system_1,source_record_id_1,record_id_2,source_system_2,source_record_id_2,email_available,email_similarity,phone_available,phone_similarity,name_available,name_similarity,address_available,address_similarity,postcode_available,postcode_similarity,date_of_birth_available,date_of_birth_similarity,weighted_similarity_score,evidence_coverage,strong_identifiers,supporting_features,corroborating_features,supporting_feature_count,corroborating_feature_count,static_conflict,preliminary_decision,preliminary_reason,final_decision,final_reason,merge_performed,probabilistic_cluster_id_1,probabilistic_cluster_id_2
DCL000011,DCL009186,7,4,B04,Email domain and local-part prefix,1,28,STG074932,SUPPORT,SUP001630,STG030123,MARKETING,MKT008821,True,0.8372,False,0.0,True,0.6667,False,0.0,False,0.0,False,0.0,0.769,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000011,PCL009025
DCL000012,DCL008236,15,3,B04,Email domain and local-part prefix,1,45,STG076360,SUPPORT,SUP003058,STG032977,MARKETING,MKT011675,True,0.8333,False,0.0,True,0.6923,False,0.0,False,0.0,False,0.0,0.7769,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000012,PCL008193
DCL000012,DCL008479,15,3,B04,Email domain and local-part prefix,1,45,STG076360,SUPPORT,SUP003058,STG026227,MARKETING,MKT004925,True,0.7755,False,0.0,True,0.6667,False,0.0,False,0.0,False,0.0,0.732,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000012,PCL008409
DCL000012,DCL009149,15,5,B04,Email domain and local-part prefix,1,75,STG076360,SUPPORT,SUP003058,STG032152,MARKETING,MKT010850,True,0.7755,False,0.0,True,0.5926,False,0.0,False,0.0,False,0.0,0.7023,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000012,PCL008992
DCL000012,DCL009670,15,1,B04,Email domain and local-part prefix,1,15,STG076360,SUPPORT,SUP003058,STG022691,MARKETING,MKT001389,True,0.8333,False,0.0,True,0.6154,False,0.0,False,0.0,False,0.0,0.7462,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000012,PCL007169
DCL000012,DCL010050,15,2,B04,Email domain and local-part prefix,1,30,STG076360,SUPPORT,SUP003058,STG030650,MARKETING,MKT009348,True,0.7755,False,0.0,True,0.5926,False,0.0,False,0.0,False,0.0,0.7023,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000012,PCL009760
DCL000013,DCL010053,9,2,B04,Email domain and local-part prefix,1,18,STG077452,SUPPORT,SUP004150,STG028756,MARKETING,MKT007454,True,0.8095,False,0.0,True,0.7,False,0.0,False,0.0,False,0.0,0.7657,0.5,,email,email | name,1,2,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000013,PCL009763
DCL000014,DCL008189,10,5,B04,Email domain and local-part prefix,1,50,STG075230,SUPPORT,SUP001928,STG029284,MARKETING,MKT007982,True,0.8636,False,0.0,True,0.7273,False,0.0,False,0.0,False,0.0,0.8091,0.5,email,email,name,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000014,PCL008150
DCL000014,DCL009206,10,2,B04,Email domain and local-part prefix,1,20,STG027510,MARKETING,MKT006208,STG019510,ECOMMERCE,TXN011510,True,0.8889,False,0.0,True,0.8333,False,0.0,True,0.1667,False,0.0,0.75,0.6,email,email | name,name,2,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000014,PCL009044
DCL000014,DCL009235,10,6,B04,Email domain and local-part prefix,1,60,STG075230,SUPPORT,SUP001928,STG028191,MARKETING,MKT006889,True,0.7907,False,0.0,True,0.5714,False,0.0,False,0.0,False,0.0,0.703,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000014,PCL009072
DCL000014,DCL010003,10,1,B04,Email domain and local-part prefix,1,10,STG075230,SUPPORT,SUP001928,STG026759,MARKETING,MKT005457,True,1.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,1.0,0.3,email,email,,1,0,False,review,Automatic score reached but evidence coverage is low,review,Automatic score reached but evidence coverage is low,False,PCL000014,PCL009720
DCL000014,DCL010304,10,3,B04,Email domain and local-part prefix,1,30,STG075230,SUPPORT,SUP001928,STG075264,SUPPORT,SUP001962,True,0.8372,False,0.0,True,0.6667,False,0.0,False,0.0,False,0.0,0.769,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000014,PCL009986
DCL000015,DCL009105,6,2,B04,Email domain and local-part prefix,1,12,STG026753,MARKETING,MKT005451,STG073561,SUPPORT,SUP000259,True,0.8085,False,0.0,True,0.64,False,0.0,False,0.0,False,0.0,0.7411,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000015,PCL008954
DCL000015,DCL009474,6,4,B04,Email domain and local-part prefix,1,24,STG026753,MARKETING,MKT005451,STG032142,MARKETING,MKT010840,True,0.84,False,0.0,True,0.7143,False,0.0,True,0.3333,False,0.0,0.7137,0.6,,email,email | name,1,2,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000015,PCL009281
DCL000015,DCL009483,6,2,B04,Email domain and local-part prefix,1,12,STG026753,MARKETING,MKT005451,STG031989,MARKETING,MKT010687,True,0.8235,False,0.0,True,0.7143,False,0.0,True,0.3333,False,0.0,0.7054,0.6,,email,email | name,1,2,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000015,PCL009281
DCL000015,DCL010041,6,1,B04,Email domain and local-part prefix,1,6,STG026753,MARKETING,MKT005451,STG027222,MARKETING,MKT005920,True,0.84,False,0.0,True,0.7692,False,0.0,True,0.2222,False,0.0,0.7134,0.6,,email | name,email | name,2,2,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000015,PCL009753
DCL000019,DCL008349,3,3,B02,Surname initial and postcode outward code,1,9,STG030903,MARKETING,MKT009601,STG016803,ECOMMERCE,TXN008803,True,0.7308,False,0.0,True,0.7857,False,0.0,True,0.6,False,0.0,0.7273,0.6,,name,email | name,1,2,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000019,PCL008296
DCL000020,DCL009107,2,3,B04,Email domain and local-part prefix,1,6,STG018028,ECOMMERCE,TXN010028,STG075736,SUPPORT,SUP002434,True,0.8293,False,0.0,True,0.6316,False,0.0,False,0.0,False,0.0,0.7502,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000020,PCL004221
DCL000021,DCL008959,5,4,B04,Email domain and local-part prefix,1,20,STG027921,MARKETING,MKT006619,STG075632,SUPPORT,SUP002330,True,0.85,False,0.0,True,0.6667,False,0.0,False,0.0,False,0.0,0.7767,0.5,email,email,,1,0,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000021,PCL008826
DCL000022,DCL010194,10,2,B04,Email domain and local-part prefix,1,20,STG024812,MARKETING,MKT003510,STG073604,SUPPORT,SUP000302,True,0.8846,False,0.0,True,0.7692,False,0.0,False,0.0,False,0.0,0.8385,0.5,email,email | name,name,2,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000022,PCL009889
DCL000022,DCL010453,10,1,B04,Email domain and local-part prefix,1,10,STG024812,MARKETING,MKT003510,STG032687,MARKETING,MKT011385,True,0.8627,False,0.0,True,0.72,False,0.0,True,0.25,False,0.0,0.713,0.6,email,email,name,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000022,PCL002417
DCL000022,DCL010599,10,1,B04,Email domain and local-part prefix,1,10,STG024812,MARKETING,MKT003510,STG075067,SUPPORT,SUP001765,True,0.8846,False,0.0,True,0.72,False,0.0,False,0.0,False,0.0,0.8188,0.5,email,email,name,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000022,PCL009889
DCL000023,DCL008761,8,4,B04,Email domain and local-part prefix,1,32,STG075320,SUPPORT,SUP002018,STG027926,MARKETING,MKT006624,True,0.7755,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.7755,0.3,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000023,PCL008655
DCL000023,DCL009861,8,1,B04,Email domain and local-part prefix,1,8,STG075320,SUPPORT,SUP002018,STG025209,MARKETING,MKT003907,True,0.7917,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.7917,0.3,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000023,PCL009603
DCL000025,DCL007948,5,4,B04,Email domain and local-part prefix,1,20,STG032988,MARKETING,MKT011686,STG073343,SUPPORT,SUP000041,True,0.8293,False,0.0,True,0.6316,False,0.0,False,0.0,False,0.0,0.7502,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000025,PCL007931
DCL000027,DCL010130,7,1,B04,Email domain and local-part prefix,1,7,STG027083,MARKETING,MKT005781,STG028220,MARKETING,MKT006918,True,1.0,False,0.0,False,0.0,False,0.0,True,0.6667,False,0.0,0.9167,0.4,email,email,,1,0,False,review,Automatic score reached but evidence coverage is low,review,Automatic score reached but evidence coverage is low,False,PCL000027,PCL009831
DCL000028,DCL009267,8,5,B04,Email domain and local-part prefix,1,40,STG078175,SUPPORT,SUP004873,STG033177,MARKETING,MKT011875,True,0.8261,False,0.0,True,0.72,False,0.0,False,0.0,False,0.0,0.7837,0.5,,email,email | name,1,2,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000028,PCL009101
DCL000031,DCL008983,9,2,B04,Email domain and local-part prefix,1,18,STG022216,MARKETING,MKT000914,STG076670,SUPPORT,SUP003368,True,0.7826,False,0.0,True,0.5833,False,0.0,False,0.0,False,0.0,0.7029,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000031,PCL008850
DCL000031,DCL009863,9,1,B04,Email domain and local-part prefix,1,9,STG022216,MARKETING,MKT000914,STG025212,MARKETING,MKT003910,True,0.8444,False,0.0,True,0.6087,False,0.0,True,0.5,False,0.0,0.7085,0.6,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000031,PCL003710
DCL000031,DCL010640,9,1,B04,Email domain and local-part prefix,1,9,STG022216,MARKETING,MKT000914,STG075870,SUPPORT,SUP002568,True,0.8182,False,0.0,True,0.6667,False,0.0,False,0.0,False,0.0,0.7576,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000031,PCL004587
DCL000033,DCL009550,13,1,B04,Email domain and local-part prefix,1,13,STG074047,SUPPORT,SUP000745,STG021443,MARKETING,MKT000141,True,0.7347,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.7347,0.3,,,email,0,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000033,PCL009346
DCL000034,DCL008847,8,3,B04,Email domain and local-part prefix,1,24,STG077868,SUPPORT,SUP004566,STG029636,MARKETING,MKT008334,True,0.8511,False,0.0,True,0.72,False,0.0,False,0.0,False,0.0,0.7986,0.5,email,email,name,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000034,PCL008727
DCL000034,DCL009310,8,4,B04,Email domain and local-part prefix,1,32,STG077868,SUPPORT,SUP004566,STG030947,MARKETING,MKT009645,True,0.8696,False,0.0,True,0.75,False,0.0,False,0.0,False,0.0,0.8217,0.5,email,email | name,name,2,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000034,PCL009137
DCL000035,DCL008142,7,7,B04,Email domain and local-part prefix,1,49,STG029517,MARKETING,MKT008215,STG075204,SUPPORT,SUP001902,True,0.8085,False,0.0,True,0.5714,False,0.0,False,0.0,False,0.0,0.7137,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000035,PCL008105
DCL000036,DCL008027,10,8,B02,Surname initial and postcode outward code,1,80,STG031329,MARKETING,MKT010027,STG078085,SUPPORT,SUP004783,True,0.8276,False,0.0,True,0.6875,False,0.0,False,0.0,False,0.0,0.7716,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000036,PCL008007
DCL000037,DCL010333,4,2,B04,Email domain and local-part prefix,1,8,STG026141,MARKETING,MKT004839,STG077665,SUPPORT,SUP004363,True,0.7907,False,0.0,True,0.5714,False,0.0,False,0.0,False,0.0,0.703,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000037,PCL010010
DCL000039,DCL009085,3,5,B04,Email domain and local-part prefix,1,15,STG025350,MARKETING,MKT004048,STG074368,SUPPORT,SUP001066,True,0.8077,False,0.0,True,0.6923,False,0.0,False,0.0,False,0.0,0.7615,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000039,PCL008937
DCL000039,DCL010688,3,1,B04,Email domain and local-part prefix,1,3,STG025350,MARKETING,MKT004048,STG077095,SUPPORT,SUP003793,True,0.7755,False,0.0,True,0.6087,False,0.0,False,0.0,False,0.0,0.7088,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000039,PCL004218
DCL000041,DCL008572,14,7,B04,Email domain and local-part prefix,1,98,STG032149,MARKETING,MKT010847,STG073309,SUPPORT,SUP000007,True,0.8571,False,0.0,True,0.7407,False,0.0,False,0.0,False,0.0,0.8106,0.5,email,email,name,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000041,PCL008494
DCL000041,DCL009988,14,1,B04,Email domain and local-part prefix,1,14,STG032149,MARKETING,MKT010847,STG026615,MARKETING,MKT005313,True,0.875,False,0.0,True,0.7692,False,0.0,True,0.1667,False,0.0,0.7217,0.6,email,email | name,name,2,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000041,PCL009710
DCL000043,DCL007891,12,4,B04,Email domain and local-part prefix,1,48,STG074288,SUPPORT,SUP000986,STG008524,ECOMMERCE,TXN000524,True,0.88,False,0.0,True,0.75,False,0.0,False,0.0,False,0.0,0.828,0.5,email,email | name,name,2,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000043,PCL007882
DCL000043,DCL009012,12,4,B04,Email domain and local-part prefix,1,48,STG074288,SUPPORT,SUP000986,STG026761,MARKETING,MKT005459,True,0.8,False,0.0,True,0.5833,False,0.0,False,0.0,False,0.0,0.7133,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000043,PCL008877
DCL000043,DCL010688,12,1,B04,Email domain and local-part prefix,1,12,STG074288,SUPPORT,SUP000986,STG077095,SUPPORT,SUP003793,True,0.8511,False,0.0,True,0.6667,False,0.0,False,0.0,False,0.0,0.7773,0.5,email,email,,1,0,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000043,PCL004218
DCL000046,DCL007904,5,5,B04,Email domain and local-part prefix,1,25,STG075954,SUPPORT,SUP002652,STG025003,MARKETING,MKT003701,True,0.7234,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.7234,0.3,,,email,0,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000046,PCL007894
DCL000046,DCL008160,5,4,B04,Email domain and local-part prefix,1,20,STG075954,SUPPORT,SUP002652,STG076298,SUPPORT,SUP002996,True,0.8511,False,0.0,True,0.72,False,0.0,False,0.0,False,0.0,0.7986,0.5,email,email,name,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000046,PCL008123
DCL000046,DCL008987,5,2,B04,Email domain and local-part prefix,1,10,STG075954,SUPPORT,SUP002652,STG032530,MARKETING,MKT011228,True,0.8077,False,0.0,True,0.6667,False,0.0,False,0.0,False,0.0,0.7513,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000046,PCL000124
DCL000051,DCL008862,2,5,B04,Email domain and local-part prefix,1,10,STG027221,MARKETING,MKT005919,STG016788,ECOMMERCE,TXN008788,True,0.8679,False,0.0,True,0.7407,False,0.0,True,0.3077,False,0.0,0.7322,0.6,email,email,name,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000051,PCL008739
DCL000051,DCL010652,2,1,B04,Email domain and local-part prefix,1,2,STG027221,MARKETING,MKT005919,STG076161,SUPPORT,SUP002859,True,0.84,False,0.0,True,0.6667,False,0.0,False,0.0,False,0.0,0.7707,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000051,PCL002358
DCL000053,DCL009026,9,2,B04,Email domain and local-part prefix,1,18,STG075513,SUPPORT,SUP002211,STG030961,MARKETING,MKT009659,True,0.8261,False,0.0,True,0.7,False,0.0,False,0.0,False,0.0,0.7757,0.5,,email,email | name,1,2,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000053,PCL008887
DCL000053,DCL009652,9,1,B04,Email domain and local-part prefix,1,9,STG075513,SUPPORT,SUP002211,STG022544,MARKETING,MKT001242,True,0.8,False,0.0,True,0.6316,False,0.0,False,0.0,False,0.0,0.7326,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000053,PCL009435
DCL000054,DCL008789,5,5,B02,Surname initial and postcode outward code,1,25,STG073925,SUPPORT,SUP000623,STG030832,MARKETING,MKT009530,True,0.8182,False,0.0,True,0.5556,False,0.0,False,0.0,False,0.0,0.7131,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000054,PCL008681
DCL000055,DCL008761,6,4,B04,Email domain and local-part prefix,1,24,STG076625,SUPPORT,SUP003323,STG027926,MARKETING,MKT006624,True,0.72,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.72,0.3,,,email,0,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000055,PCL008655
DCL000055,DCL009861,6,1,B04,Email domain and local-part prefix,1,6,STG076625,SUPPORT,SUP003323,STG025209,MARKETING,MKT003907,True,0.8163,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.8163,0.3,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000055,PCL009603
DCL000056,DCL008648,9,3,B04,Email domain and local-part prefix,1,27,STG000056,CRM,CRM000056,STG031163,MARKETING,MKT009861,True,0.8182,False,0.0,True,0.6364,False,0.0,False,0.0,False,0.0,0.7455,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000056,PCL008559
DCL000056,DCL009054,9,3,B04,Email domain and local-part prefix,1,27,STG000056,CRM,CRM000056,STG024692,MARKETING,MKT003390,True,0.7826,False,0.0,True,0.5833,False,0.0,False,0.0,False,0.0,0.7029,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000056,PCL007568
DCL000056,DCL010077,9,1,B04,Email domain and local-part prefix,1,9,STG000056,CRM,CRM000056,STG027561,MARKETING,MKT006259,True,0.8085,False,0.0,True,0.56,False,0.0,False,0.0,False,0.0,0.7091,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000056,PCL000328
DCL000056,DCL010352,9,2,B04,Email domain and local-part prefix,1,18,STG000056,CRM,CRM000056,STG031191,MARKETING,MKT009889,True,0.8,False,0.0,True,0.6087,False,0.0,False,0.0,False,0.0,0.7235,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000056,PCL010026
DCL000056,DCL010581,9,1,B04,Email domain and local-part prefix,1,9,STG014835,ECOMMERCE,TXN006835,STG074643,SUPPORT,SUP001341,True,0.7826,False,0.0,True,0.5833,False,0.0,False,0.0,False,0.0,0.7029,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000056,PCL007481
DCL000057,DCL008859,2,2,B04,Email domain and local-part prefix,1,4,STG000057,CRM,CRM000057,STG024745,MARKETING,MKT003443,True,0.8333,False,0.0,True,0.6923,False,0.0,True,0.3636,False,0.0,0.708,0.6,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000057,PCL000623
DCL000060,DCL008746,5,3,B04,Email domain and local-part prefix,1,15,STG024177,MARKETING,MKT002875,STG075580,SUPPORT,SUP002278,True,0.8085,False,0.0,True,0.64,False,0.0,False,0.0,False,0.0,0.7411,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000060,PCL001864
DCL000060,DCL009632,5,2,B04,Email domain and local-part prefix,1,10,STG024177,MARKETING,MKT002875,STG076035,SUPPORT,SUP002733,True,0.8261,False,0.0,True,0.6957,False,0.0,False,0.0,False,0.0,0.7739,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000060,PCL009419
DCL000061,DCL008673,6,4,B04,Email domain and local-part prefix,1,24,STG030293,MARKETING,MKT008991,STG074518,SUPPORT,SUP001216,True,0.8444,False,0.0,True,0.6316,False,0.0,False,0.0,False,0.0,0.7593,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000061,PCL008580
DCL000065,DCL009471,4,4,B04,Email domain and local-part prefix,1,16,STG018864,ECOMMERCE,TXN010864,STG077643,SUPPORT,SUP004341,True,0.766,False,0.0,True,0.64,False,0.0,False,0.0,False,0.0,0.7156,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000065,PCL009278
DCL000065,DCL009679,4,2,B04,Email domain and local-part prefix,1,8,STG018864,ECOMMERCE,TXN010864,STG022779,MARKETING,MKT001477,True,0.8333,False,0.0,True,0.6923,False,0.0,True,0.3636,False,0.0,0.708,0.6,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000065,PCL001694
DCL000068,DCL010573,5,2,B04,Email domain and local-part prefix,1,10,STG030413,MARKETING,MKT009111,STG074585,SUPPORT,SUP001283,True,0.7907,False,0.0,True,0.5714,False,0.0,False,0.0,False,0.0,0.703,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000068,PCL008804
DCL000068,DCL010619,5,1,B04,Email domain and local-part prefix,1,5,STG030413,MARKETING,MKT009111,STG075453,SUPPORT,SUP002151,True,0.878,False,0.0,True,0.8,False,0.0,False,0.0,False,0.0,0.8468,0.5,email,email | name,name,2,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000068,PCL005781
DCL000069,DCL008207,6,6,B04,Email domain and local-part prefix,1,36,STG073614,SUPPORT,SUP000312,STG021874,MARKETING,MKT000572,True,0.7692,False,0.0,True,0.7097,False,0.0,False,0.0,False,0.0,0.7454,0.5,,email,email | name,1,2,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000069,PCL008167
DCL000070,DCL008412,6,5,B04,Email domain and local-part prefix,1,30,STG022200,MARKETING,MKT000898,STG076903,SUPPORT,SUP003601,True,0.8,False,0.0,True,0.6087,False,0.0,False,0.0,False,0.0,0.7235,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000070,PCL008351
